Shell Length (mm),Lifespan (years),Pleistocene Locality,State
88.88,,Holland Point,VA
88.9,,Cherry Point,VA
89,,Holland Point,VA
89.16,,Holland Point,VA
89.27,,Cherry Point,VA
89.39,,Holland Point,VA
89.46,,Holland Point,VA
89.78,,Holland Point,VA
90.11,7,Wailes Bluff,MD
90.22,,Holland Point,VA
90.23,7,Holland Point,VA
90.32,,Holland Point,VA
90.37,,Holland Point,VA
90.63,,Holland Point,VA
90.98,,Holland Point,VA
91.48,,Holland Point,VA
91.65,,Cherry Point,VA
91.92,3,Cherry Point,VA
91.96,,Holland Point,VA
92.39,,Holland Point,VA
92.69,,Holland Point,VA
92.7,,Holland Point,VA
92.83,,Holland Point,VA
92.94,,Holland Point,VA
93.41,,Cherry Point,VA
93.62,8.66,Wailes Bluff,MD
93.66,4,Cherry Point,VA
93.66,,Holland Point,VA
93.78,6,Holland Point,VA
94.26,3,Holland Point,VA
94.27,,Holland Point,VA
94.31,,Holland Point,VA
94.38,5.33,Wailes Bluff,MD
95.28,4,Cherry Point,VA
95.65,,Holland Point,VA
95.93,8.33,Wailes Bluff,MD
95.94,,Holland Point,VA
96.15,,Holland Point,VA
96.66,,Holland Point,VA
97.14,,Holland Point,VA
97.15,,Holland Point,VA
97.21,,Holland Point,VA
97.39,,Holland Point,VA
97.45,,Cherry Point,VA
97.62,6,Holland Point,VA
97.74,,Holland Point,VA
97.83,,Holland Point,VA
97.86,7,Holland Point,VA
97.93,7,Holland Point,VA
97.98,,Holland Point,VA
98.16,,Holland Point,VA
98.27,,Cherry Point,VA
98.37,,Holland Point,VA
98.41,6,Wailes Bluff,MD
98.44,,Holland Point,VA
98.57,,Holland Point,VA
98.77,7,Holland Point,VA
98.8,,Holland Point,VA
98.87,,Holland Point,VA
98.95,,Holland Point,VA
99.23,,Holland Point,VA
99.24,4,Holland Point,VA
99.25,5,Holland Point,VA
99.27,,Holland Point,VA
99.3,,Cherry Point,VA
99.52,,Holland Point,VA
99.53,,Cherry Point,VA
100.11,7,Wailes Bluff,MD
100.18,,Holland Point,VA
100.3,,Holland Point,VA
100.34,,Holland Point,VA
100.38,3,Cherry Point,VA
100.73,,Holland Point,VA
101.01,,Holland Point,VA
101.13,,Cherry Point,VA
101.34,,Holland Point,VA
101.53,,Holland Point,VA
101.53,,Holland Point,VA
101.6,5,Holland Point,VA
101.62,,Holland Point,VA
102.54,,Holland Point,VA
102.9,6,Holland Point,VA
102.92,,Holland Point,VA
102.95,,Holland Point,VA
103.27,,Holland Point,VA
103.68,,Holland Point,VA
103.75,,Holland Point,VA
103.95,8.99,Wailes Bluff,MD
104.05,,Holland Point,VA
104.45,,Holland Point,VA
104.72,7,Holland Point,VA
104.74,,Holland Point,VA
104.75,,Holland Point,VA
104.96,,Holland Point,VA
105.36,,Holland Point,VA
105.69,,Holland Point,VA
105.72,,Holland Point,VA
105.75,,Holland Point,VA
105.76,4,Holland Point,VA
105.87,,Holland Point,VA
105.98,,Holland Point,VA
105.99,,Holland Point,VA
106.13,,Holland Point,VA
106.35,,Holland Point,VA
106.38,6,Holland Point,VA
106.72,,Holland Point,VA
106.97,,Holland Point,VA
107.03,,Holland Point,VA
107.15,,Holland Point,VA
107.39,6.66,Wailes Bluff,MD
107.6,,Holland Point,VA
107.64,,Holland Point,VA
107.66,,Holland Point,VA
107.91,,Holland Point,VA
108.78,,Holland Point,VA
108.78,,Holland Point,VA
108.98,,Holland Point,VA
109.14,,Holland Point,VA
109.17,9,Holland Point,VA
109.27,,Holland Point,VA
109.31,,Holland Point,VA
109.62,,Holland Point,VA
109.74,,Holland Point,VA
109.78,,Holland Point,VA
110.25,8,Holland Point,VA
110.25,,Holland Point,VA
110.54,,Holland Point,VA
110.66,7.66,Wailes Bluff,MD
111.17,,Holland Point,VA
111.52,3,Cherry Point,VA
111.72,,Holland Point,VA
111.83,10,Holland Point,VA
111.83,,Holland Point,VA
112.18,,Holland Point,VA
112.3,,Holland Point,VA
112.55,,Holland Point,VA
112.56,8,Holland Point,VA
113.51,,Holland Point,VA
113.62,,Holland Point,VA
114.06,,Holland Point,VA
114.19,,Holland Point,VA
114.21,8.33,Wailes Bluff,MD
114.3,10.33,Wailes Bluff,MD
114.55,5,Holland Point,VA
114.57,,Holland Point,VA
115.09,,Cherry Point,VA
115.26,,Holland Point,VA
115.37,,Holland Point,VA
115.58,,Holland Point,VA
115.68,,Holland Point,VA
115.76,,Holland Point,VA
115.87,,Holland Point,VA
116.07,,Holland Point,VA
116.23,,Holland Point,VA
116.95,8.66,Wailes Bluff,MD
117.87,3,Cherry Point,VA
118.16,,Holland Point,VA
118.49,,Cherry Point,VA
119.31,,Holland Point,VA
119.38,4.66,Wailes Bluff,MD
119.4,,Holland Point,VA
119.74,,Holland Point,VA
119.81,,Holland Point,VA
119.94,,Holland Point,VA
119.96,,Holland Point,VA
120,,Holland Point,VA
120.3,,Holland Point,VA
120.4,,Holland Point,VA
120.55,7,Holland Point,VA
120.65,7,Wailes Bluff,MD
120.9,,Holland Point,VA
121.31,,Holland Point,VA
121.35,,Holland Point,VA
121.6,,Holland Point,VA
121.61,,Holland Point,VA
121.83,,Holland Point,VA
122.1,,Holland Point,VA
122.21,,Holland Point,VA
122.24,8,Holland Point,VA
122.52,,Holland Point,VA
123.07,,Holland Point,VA
123.12,10.66,Wailes Bluff,MD
123.33,10,Holland Point,VA
123.38,,Holland Point,VA
123.44,8,Holland Point,VA
123.77,,Holland Point,VA
124.12,,Cherry Point,VA
124.26,,Cherry Point,VA
124.42,,Holland Point,VA
124.66,,Holland Point,VA
124.8,8,Holland Point,VA
125.05,9,Holland Point,VA
125.05,16,Holland Point,VA
125.05,,Holland Point,VA
125.05,,Holland Point,VA
125.06,,Holland Point,VA
125.67,,Holland Point,VA
125.68,8,Holland Point,VA
125.69,,Holland Point,VA
126.09,,Holland Point,VA
126.47,,Holland Point,VA
126.87,,Holland Point,VA
126.92,,Holland Point,VA
126.96,8,Holland Point,VA
127.16,11,Holland Point,VA
127.54,,Holland Point,VA
127.8,,Holland Point,VA
127.95,4,Cherry Point,VA
128.35,,Holland Point,VA
128.55,9.99,Wailes Bluff,MD
128.56,8,Holland Point,VA
129.08,14,Holland Point,VA
129.14,,Holland Point,VA
129.23,,Holland Point,VA
129.65,,Holland Point,VA
129.69,9,Holland Point,VA
129.92,14,Holland Point,VA
130.79,,Holland Point,VA
131.09,,Holland Point,VA
131.12,,Holland Point,VA
131.29,,Holland Point,VA
132.35,,Holland Point,VA
132.4,,Holland Point,VA
132.46,,Holland Point,VA
133.04,,Cherry Point,VA
133.1,,Holland Point,VA
133.12,,Cherry Point,VA
133.3,,Holland Point,VA
133.32,,Holland Point,VA
133.35,11.33,Wailes Bluff,MD
134.27,,Holland Point,VA
135.05,,Holland Point,VA
135.08,,Holland Point,VA
136.79,,Holland Point,VA
136.85,,Holland Point,VA
137.75,,Holland Point,VA
138.13,5,Cherry Point,VA
139.06,,Holland Point,VA
139.7,8.33,Wailes Bluff,MD
139.7,10.66,Wailes Bluff,MD
139.85,,Holland Point,VA
139.9,,Holland Point,VA
139.96,,Holland Point,VA
140.27,6,Holland Point,VA
141.23,,Holland Point,VA
141.83,,Holland Point,VA
142.09,,Holland Point,VA
142.1,14,Holland Point,VA
142.72,8,Holland Point,VA
142.73,,Holland Point,VA
143.59,,Holland Point,VA
143.96,,Holland Point,VA
144.22,,Holland Point,VA
144.52,,Holland Point,VA
144.55,,Holland Point,VA
144.78,19,Holland Point,VA
144.82,,Holland Point,VA
145.05,,Holland Point,VA
145.49,,Holland Point,VA
145.54,,Holland Point,VA
146.25,9,Holland Point,VA
146.27,,Holland Point,VA
147.11,,Holland Point,VA
147.25,,Holland Point,VA
147.46,,Holland Point,VA
147.68,13,Holland Point,VA
147.87,,Holland Point,VA
147.96,9,Holland Point,VA
147.99,,Holland Point,VA
148.01,,Holland Point,VA
149.85,,Holland Point,VA
150.24,13,Holland Point,VA
150.59,,Holland Point,VA
150.8,,Holland Point,VA
151.49,,Holland Point,VA
152.68,,Holland Point,VA
153.39,,Holland Point,VA
154,,Holland Point,VA
154.06,,Holland Point,VA
154.11,11,Holland Point,VA
154.12,,Holland Point,VA
154.15,,Holland Point,VA
156.59,,Holland Point,VA
156.66,21,Holland Point,VA
157.11,,Holland Point,VA
158.37,,Holland Point,VA
158.42,,Holland Point,VA
160.32,11,Holland Point,VA
160.32,,Holland Point,VA
161.55,,Holland Point,VA
161.9,,Holland Point,VA
162.06,,Holland Point,VA
162.07,19,Holland Point,VA
162.07,,Holland Point,VA
162.46,,Holland Point,VA
162.48,12,Holland Point,VA
163,,Holland Point,VA
165.08,,Holland Point,VA
165.19,,Holland Point,VA
165.32,,Holland Point,VA
166.62,9.99,Wailes Bluff,MD
167,,Holland Point,VA
167.11,,Holland Point,VA
167.13,9,Holland Point,VA
167.45,17,Holland Point,VA
167.75,,Holland Point,VA
168.11,,Holland Point,VA
168.5,10,Holland Point,VA
168.52,,Holland Point,VA
169.44,,Holland Point,VA
169.47,9,Holland Point,VA
171.4,,Holland Point,VA
172.54,,Holland Point,VA
174.55,,Holland Point,VA
175.84,,Holland Point,VA
175.94,,Holland Point,VA
180.28,,Holland Point,VA
181.75,,Holland Point,VA
183.29,,Holland Point,VA
183.45,,Holland Point,VA
183.52,16,Holland Point,VA
196.85,12.99,Wailes Bluff,MD
203.23,,Holland Point,VA
216.16,,Holland Point,VA
258.98,,Holland Point,VA
